;1M;2M;3P;4M1;4M2;5M;7S1;7S2;9S1;9S2;8S;6C1;6C2;;;;
Température;13.4;13.9;-;14.7;14.6;15;14.4;14.2;18.4;15.5;13;13.8;13.9;;;;
pH;8.3;8.3;8.3;8.2;8.3;8.2;8.4;8.4;8.3;8.2;8.1;8.2;8.2;;;;
Oxygène dissous;9.2;11;8.5;10.1;9.7;9.8;4.2;10.1;92.9;96.1;9.2;10;10;;;;
Conductivité;460;478;564;448;443;473;488;517;620;605;437;437;440;;;;
Chlorures;9.7;25.7;24.5;21.9;22.9;;13.6;18.4;24.3;25.3;15.4;19.2;22.8;;;;
NO3;14;23.8;14.2;18;16.9;18.5;19.7;21.3;28.6;19.6;2.4;12.6;12.5;;;;
N-NO3;3.18;5.41;3.23;4.08;3.84;4.2;4.48;4.83;6.5;4.45;0.55;2.86;2.84;;;;
NO2;0.003;0.168;0;0;0.03;0.178;0.02;0.02;0.089;0;0.027;0.129;0;;;;
N-NO2;0.001;0.051;0;0;0.009;0.054;0.006;0.006;0.027;0;0.008;0.039;0;;;;
NH4;0.001;0.249;0.044;0.029;0.01;0.15;0.001;0.001;0.737;0.012;0.466;0.399;0.042;;;;
N-NH4;0.001;0.193;0.034;0.022;0.008;0.116;0.001;0.001;0.571;0.009;0.361;0.309;0.033;;;;
Ortho-phosphaes;0.014;0.103;0.009;0.163;0.043;0.089;0.012;0.012;0.103;0.063;0.063;0;0.142;;;;
Ortho-P;0.005;0.034;0.003;0.053;0.014;0.029;0.004;0.004;0.034;0.021;0.021;0;0.046;;;;
Sulfates;20.7;16.2;21.8;19;20.3;26;17.3;17.3;12.5;25.3;45.5;33.4;37.1;;;;
;1.689;1.509;2.032;2.129;2.648;2.789;2.594;2.508;2.356;1.365;2.332;2.644;1.767;;;;
;1.704;1.677;2.668;2.102;2.707;2.683;2.675;2.672;2.274;1.427;2.348;2.566;1.868;;;;
;1.611;2.309;2.473;2.828;2.714;2.831;2.262;2.262;1.927;2.083;1.856;2.57;2.383;;;;
;1.349;2.555;2.438;2.722;2.925;3.229;2.293;2.289;1.973;2.048;1.814;2.742;2.449;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
