"Résultats des analyses des PAHs par GCMSMS dans les sédiments des TP ""analyse des polluants dans l'environnement"" octobre 2021";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
PAH;std1;;std2;;std3;;std4;;std5;;std6;;1M;2M;4M1;4M2;5M;7S1;7S2;8S;9S1;9S2;6C1;6C2;3P
;ng/ml;surface;ng/ml;surface;ng/ml;surface;ng/ml;surface;ng/ml;surface;ng/ml;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface
Naphthalène;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
Acenaphthylene;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
Acénaphthène;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
Fluorène;5.1;7591;20.3;25694;79;131306;157;226427;392;614796;778;1045119;8818;10429;nd;nd;nd;nd;nd;12107;nd;12505;13134;15035;569501
Phénanthrène;5.1;945229;20.3;3170297;79;15304427;157;26303027;392;75588179;778;130651625;24923807;13836580;8477280;6891845;1174591;2422010;2568905;9844307;7397426;20539429;24773962;16221530;240999616
Anthracène;5.1;1318448;20.3;4336669;79;21088773;157;36610046;392;106801394;778;180873666;5100564;2035058;2062882;1777334;154238;564406;242591;3376176;1391739;4856916;4390124;3752604;170955873
Fluoranthène;5.1;289935;20.3;990946;79;4747310;157;8391475;392;24652087;778;44875899;14754409;4348483;4823929;5382689;63101;2398095;1050394;7457238;4066686;9153862;13101310;6029868;172339658
Pyrène;5.1;233713;20.3;853235;79;3938485;157;6886051;392;20417965;778;37531214;8534329;3369055;3000281;3529588;34442;1323093;1407850;4690235;2355065;5937531;8850630;4684593;126162409
Benzo (a) Anthracène;5.1;278832;20.3;1008411;79;4809688;157;8622020;392;26410784;778;49538534;nd;nd;120542;245439;nd;166686;nd;690724;281240;1166398;1766116;nd;78370926
Chrysène;5.1;318916;20.3;1188851;79;5390353;157;9765579;392;29405013;778;53671926;44455;12348;76235;161502;nd;104322;nd;334992;189748;708699;1064443;nd;69786869
Benzo(b)Fluoranthène;5.1;201490;20.3;650713;79;3368981;157;5778687;392;18905024;778;34624702;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;8128890
Benzo (k) Fluoranthène;5.1;197992;20.3;602309;79;3323876;157;5568172;392;18046895;778;32293888;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;8041961
Benzo (a) Pyrène;5.1;206369;20.3;689721;79;3668785;157;5980976;392;20644078;778;37419008;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;13837842
Dibenz (a,h) Anthracène;5.1;1095002;20.3;3069556;79;18356804;157;27952889;392;103890317;778;190205321;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;453069
Benzo (g,h,i) Perylène;5.1;1159499;20.3;3323953;79;18873681;157;29121615;392;101979245;778;183628022;nd;121053;nd;nd;nd;nd;252411;nd;nd;nd;202726;nd;3672932
indeno (1,2,3c,d) pyrene;5.1;30316;20.3;123255;79;659188;157;1008814;392;3518112;778;6568569;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;4133;54144
na: non analysé;;;;;;;;;;;;;;;;;;;;;;;;;
nd: non détecté;;;;;;;;;;;;;;;;;;;;;;;;;
