"Résultats des analyses des PCBs par GCMS dans les sédiments des TP ""analyse des polluants dans l'environnement"" 2 octobre 2019";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PCB;std1;;std2;;std3;;std4;;std5;;1M;2M (a);2M (b);3P;4M;5M;6C (a);6C (b);7S;8S (a);8S (b)
;ng/ml;surface;ng/ml;surface;ng/ml;surface;ng/ml;surface;ng/ml;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface
CB 28;4.1;30841;8.3;61682;16.5;127091;24.8;181605;33;239687;0;41427;26890;0;7665;23617;4972;4306;1094;58183;11420
CB 52;5.9;18782;11.7;37564;23.5;80033;35.2;110539;46.9;144707;0;18779;22376;0;16335;313414;10876;11383;4192;73024;22538
CB 101;4.5;13840;9;27680;18;56691;27;80386;36;104091;2910;7201;8000;13181;13349;1526109;20069;44657;9293;46926;23476
CB 105;4.5;17606;9;35212;18;82496;26.9;119886;35.9;154852;0;0;0;0;0;534577;4511;5620;0;26727;113406
CB 118;3.9;16796;7.7;33592;15.4;74070;23.1;107818;30.8;146990;0;8577;7228;8465;11530;1634226;11468;22369;10377;54902;22797
CB 128;4.1;10177;8.2;20354;16.4;44148;24.6;63754;32.8;83702;0;0;0;0;0;290102;3139;6382;3548;0;0
CB 138;3.3;12048;6.6;24095;13.2;52920;19.8;76091;26.4;98968;6011;7630;12104;28428;18437;2919084;41217;96839;27063;45251;44753
CB 149;4.1;24681;8.1;49362;16.3;106846;24.4;145384;32.5;189027;4234;8711;13184;38550;22702;2657685;49703;118181;22723;47351;43068
CB 153;3.9;11236;7.9;22471;15.7;48108;23.6;70683;31.5;88164;4736;7576;11531;28960;17822;2718304;38999;102615;23093;41162;42995
CB 156;3.1;10658;6.3;21315;12.5;47532;18.8;66371;25;87962;0;0;0;0;0;213158;3473;8109;3959;0;0
CB 170;3.6;5913;7.3;11826;14.6;24920;21.9;36486;29.1;48763;1293;1221;2310;4243;2666;397958;9067;25506;6488;6495;153229
CB 180;3.7;8263;7.5;16526;15;35036;22.5;50336;30;65403;1904;1979;3900;8086;4928;778407;16075;47590;10897;10685;16507
